Year,resource,Land cover,Landscape Proportion,Edge length,Edge density,Number of Patches,Patch density,Greatest patch area,Smallest patch area,Mean patch area,Median patch area,Largest Patch Index,Fractal Dimension Index,Mean patch shape ratio,Overall Core area,Like adjacencies,Patch cohesion index,Landscape division,Effective Meshsize,Splitting Index
1977,Mangroves,38504938,0.179655648674301,224506,0.00257505490885427,8,9.17589697862602e-8,16356632,370813,4813117.25,2847758,18.7608462686622,1.12332004879495,0.0076339854685051,38280499,0.997088954844595,9.99604810240807,0.947796686604084,4551342.58961417,19.1558722032812
1977,Agriculture,3316503,0.0154740801762949,23262,2.6681214439599e-4,5,5.73493561164126e-8,1779881,136815,663300.6,243797,2.04150058627673,1.06015981302468,0.0033274230172916,3293267,0.996499131555268,9.98996483172572,0.999453598487916,47637.9814077861,1830.15598947587
1977,Estuary,45363496,0.211656185500521,332280,0.00381120881007232,14,1.60578197125955e-7,43899331,1,3240249.71428571,75142,50.3519673358255,NA,0.0638051461903936,45031400,0.996344278245357,9.99776228353616,0.746386705052793,22111259.1423347,3.94301095377576
1990,Mangroves,9314072,0.0434574299784391,365564,0.00416752619908977,178,2.02924703591705e-6,1430769,1,52326.2471910112,5,1.63111446760224,NA,2.54771648173831,8950683,NA,NA,0.998959877049768,91236.7404581071,961.424800574467
1990,Agriculture,47870979,0.223355554680255,381908,0.00435385211793824,71,8.09418761517473e-7,5359357,1,674239.14084507,298018,6.10980859925352,NA,0.0936593808540455,47488090,NA,NA,0.986094557458932,1219747.3883171,71.9142880240346
1990,Estuary,30532214,0.142456656121159,363724,0.0041465497128758,495,5.64313080212886e-6,29032172,1,61681.2404040404,1,33.097443245637,NA,0.44804226296509,30173643,NA,NA,0.890401037523782,9613721.23525162,9.12417396484912
2004,Mangroves,13395938,0.0624322509536808,319610,0.00360912004682404,23,2.59722039601242e-7,7081993,8181,582432.086956522,95645,7.99717246261617,1.18504852279381,0.0398372469216105,13076499,0.98814137047704,9.99374967503441,0.992990777862765,620710.161540107,142.669183601367
2004,Agriculture,50570559,0.235685909441797,323850,0.0036569992402114,34,3.83936928106184e-7,15213516,100708,1487369.38235294,516333.5,17.1795017609832,1.09540204436307,0.0036815087624196,50246852,0.996803156248722,9.99492548067489,0.957490650122023,3764466.99977627,23.5242365002172
2004,Estuary,24589715,0.114601251346452,235630,0.00266079583440177,92,1.03888815840497e-6,23574696,1,267279.510869565,2,26.6211657743445,NA,0.337830444092919,24355088,0.995220219710047,9.9971766675111,0.929113632348292,6277428.20167463,14.1070848052672
2011,Mangroves,16993502,0.0791098783872266,382460,0.00435793775812942,26,2.9625681564442e-7,7361422,1,653596.230769231,145469,8.38796707821068,NA,0.278630099921575,16611262,0.98880983727831,9.99392496141593,0.990761334795411,810800.908653632,108.240744507467
2011,Agriculture,49296512,0.229490135066595,357700,0.00407581011369266,55,6.26697110017042e-7,7609292,1504,896300.218181818,305723,8.670402373956,1.0932732359443,0.00602162367852521,48939198,0.996378523708075,9.99334800827366,0.97805864590536,1925610.40399947,45.5760385474237
2011,Estuary,21471680,0.0999571479480478,250482,0.00285411537293252,31,3.53229280191424e-7,19932096,1,692634.838709677,5270,22.7116126541495,NA,0.187411944677453,21221671,0.994184115708797,9.99692606547844,0.948363647202143,4531693.79352153,19.3662012480771
